Domain Name,Record Name,Record Type,Record Value
www.ronuxd.com,_af987cbec1beac338aa7eecbdc3133c0.www.ronuxd.com.,CNAME,_05eb1b2b4853be30c1ab2f03dfc676a2.hkvuiqjoua.acm-validations.aws.
ronuxd.com,_804e2dc9d2cc1efb1180dc2e57629924.ronuxd.com.,CNAME,_136f9b4faba0daf298295f8971ee13f0.hkvuiqjoua.acm-validations.aws.
